time	landing_n	takeoff_n	group	n_mos	t_sampling
6.257650064278057	43	38	orl	39	30
2.293799171245368	31	51	orl	40	30
5.956413906384221	27	29	orl	39	30
4.954173411682869	25	20	orl	37	30
6.567333936138433	42	43	orl	40	30
5.916361551708932	40	50	orl	40	30
5.684261488293087	23	49	orl	40	30
7.850876808609272	33	47	orl	40	30
5.646434208401089	26	37	orl	40	30
6.724825794294653	41	20	orl	39	30
2.51368852481246	52	44	orco1616	40	30
5.998849217227083	90	60	orco1616	40	30
7.206375939239526	58	74	orco1616	40	30
4.970062373671681	40	44	orco1616	39	30
4.428197164001298	48	100	orco1616	40	30
5.3922226614913376	88	52	orco1616	40	30
6.578058214863457	66	76	orco1616	39	30
2.980322233494371	90	100	orco1616	40	30
2.9355412284123616	54	64	orco1616	38	30
6.583288748234687	78	62	orco1616	39	30
2.3063718752004205	52	60	orco1616	40	30
1.7269061092287301	54	59	Ir140_14_orco1616	37	30
6.052527340106125	62	76	Ir140_14_orco1616	38	30
5.950798663753475	47	34	Ir140_14_orco1616	40	30
4.345367318981117	79	57	Ir140_14_orco1616	40	30
4.258722270373255	73	81	Ir140_14_orco1616	38	30
4.991003945469856	69	74	Ir140_14_orco1616	40	30
4.787700978084858	39	76	Ir140_14_orco1616	40	30
4.125635406002402	52	37	Ir140_14_orco1616	40	30
2.7040073523297905	49	37	Ir140_14_orco1616	39	30
7.7294912878195	49	39	Ir140_14_orco1616	39	30
5.408860967873019	39	61	Ir140_49_orco1616	40	30
6.263922031945939	64	34	Ir140_49_orco1616	37	30
3.842872641050027	54	71	Ir140_49_orco1616	40	30
2.531896610771302	49	79	Ir140_49_orco1616	40	30
5.9840737423233445	73	49	Ir140_49_orco1616	40	30
6.630776888202335	79	79	Ir140_49_orco1616	40	30
4.44850984364748	37	85	Ir140_49_orco1616	39	30
6.952448337290613	76	37	Ir140_49_orco1616	40	30
4.426628347113729	46	49	Ir140_4914_orco1616	39	30
2.2049855897414403	30	38	Ir140_4914_orco1616	40	30
2.635137141237678	26	20	Ir140_4914_orco1616	39	30
5.13792094681412	28	49	Ir140_4914_orco1616	39	30
4.580482584397312	24	48	Ir140_4914_orco1616	39	30
7.058831450380347	46	24	Ir140_4914_orco1616	40	30
6.981605055127255	20	33	Ir140_4914_orco1616	40	30
6.282926321221606	24	29	Ir140_4914_orco1616	38	30
6.056359893380567	27	50	Ir140_4914_orco1616	40	30
5.966167110461201	46	41	Ir140_4914_orco1616	38	30
3.8479278492741287	37	41	Ir140_4914_orco1616	40	30
